test_id,number,problem,choice_1,choice_2,choice_3,choice_4,choice_5,answer
KSAT_2023_07_고3_미적분,6,"모든 항이 양수인 등비수열 {an}에 대하여 a₂²=a₅, a₂-a₁=2 일 때, a₅의 값은? [3점]",20,24,28,32,36,4
KSAT_2023_07_고3_미적분,7,"함수 f(x)=x³+ax²-9x+4가 x=1에서 극값을 갖는다. 함수 f(x)의 극댓값은? (단, a는 상수이다.) [3점]",31,33,35,37,39,1
KSAT_2023_07_고3_미적분,8,"수직선 위를 움직이는 점 P의 시각 t(t≥0)에서의 속도 v(t)가 v(t)=t²-4t+3이다. 점 P가 시각 t=1, t=a(a>1)에서 운동 방향을 바꿀 때, 점 P가 시각 t=0에서 t=a까지 움직인 거리는? [3점]",7/3,8/3,3,10/3,11/3,2
KSAT_2023_07_고3_미적분,9,"2 이상의 자연수 n에 대하여 x에 대한 방정식 (x²-8)(x^n-8)=0의 모든 실근의 곱이 -4일 때, n의 값은? [4점]",2,3,4,5,6,2
KSAT_2023_07_고3_미적분,10,"0≤x<2π일 때, 곡선 y=|4sin3x+2|와 직선 y=2가 만나는 서로 다른 점의 개수는? [4점]",3,6,9,12,15,3
KSAT_2023_07_고3_미적분,11,"최고차항의 계수가 1인 삼차함수 f(x)가 다음 조건을 만족시킨다.
(가) 모든 실수 x에 대하여 f(1+x)+f(1-x)=0이다.
(나) ∫(0 to 2) f'(x)dx = 12
f(4)의 값은? [4점]",24,28,32,36,40,1
KSAT_2023_07_고3_미적분,12,"모든 항이 정수이고 공차가 5인 등차수열 {an}과 자연수 m이 다음 조건을 만족시킨다.
(가) ∑(k=1 to 2m+1) ak < 0
(나) |am|+|am+1|+|am+2|<13
24<a₂₁<29일 때, m의 값은? [4점]",10,12,14,16,18,3
KSAT_2023_07_고3_미적분,13,"[MultiModal] 그림과 같이 평행사변형 ABCD가 있다. 점 A에서 선분 BD에 내린 수선의 발을 E라 하고, 직선 CE가 선분 AB와 만나는 점을 F라 하자. cos(∠AFC)=√10/10, EC=10이고 삼각형 CDE의 외접원의 반지름의 길이가 5√2일 때, 삼각형 AFE 의 넓이는? [4점]",20/3,7,22/3,23/3,8,1
KSAT_2023_07_고3_미적분,15,"모든 항이 자연수인 수열 {an}이 다음 조건을 만족시킨다.
(가) a₁ <300
(나) 모든 자연수 n에 대하여 an+1 = { (1/3)an (log₃an이 자연수인 경우), an+6 (log₃an이 자연수가 아닌 경우) } 이다.
∑(k=4 to 7) ak=40이 되도록 하는 모든 a₁의 값의 합은? [4점]",315,321,327,333,339,4
KSAT_2023_07_고3_미적분,24,"함수 f(x)=ln(x²-x+2)와 실수 전체의 집합에서 미분가능한 함수 g(x)가 있다. 실수 전체의 집합에서 정의된 합성함수 h(x)를 h(x)=f(g(x))라 하자. lim(x→2) [g(x)-4]/(x-2) = 12일 때, h'(2)의 값은? [3점]",4,6,8,10,12,2
KSAT_2023_07_고3_미적분,25,"곡선 2e^(x+y)-1 = 3e^(x)+x-y 위의 점 (0, 1)에서의 접선의 기울기는? [3점]",2/3,1,4/3,5/3,2,1
KSAT_2023_07_고3_미적분,26,"함수 f(x)는 실수 전체의 집합에서 도함수가 연속이고 ∫(0 to 2) (x-1)f'(x/2)dx=2를 만족시킨다. f(1)=4일 때, ∫(0 to 1) f(x)dx의 값은? [3점]",3/4,1,5/4,3/2,7/4,4
KSAT_2021_09_고3_미적분,4,"함수 f(x) = {2x+a (x≤-1), x²-5x-a (x > -1)} 이 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점]",1,2,3,4,5,4
KSAT_2021_09_고3_미적분,5,"함수 f(x)=2x³+3x²-12x+1의 극댓값과 극솟값을 각각 M, m이라 할 때, M+m의 값은? [3점]",13,14,15,16,17,3
KSAT_2021_09_고3_미적분,6,"π/2 < θ < π인 θ에 대하여 sinθ/(1-sinθ) - sinθ/(1+sinθ) = 4일 때, cosθ의 값은? [3점]",-√3/3,-1/3,0,1/3,√3/3,1
KSAT_2021_09_고3_미적분,7,"수열 {an}은 a₁=-4이고, 모든 자연수 n에 대하여 ∑(k=1 to n) (ak+1-ak)/(akak+1) = 1/n 을 만족시킨다. a13의 값은? [3점]",-9,-7,-5,-3,-1,4
KSAT_2021_09_고3_미적분,8,"삼차함수 f(x)가 lim(x→0) f(x)/x = lim(x→1) f(x)/(x-1) = 1을 만족시킬 때, f(2)의 값은? [3점]",4,6,8,10,12,2
KSAT_2021_09_고3_미적분,9,"수직선 위를 움직이는 점 P의 시각 t(t>0)에서의 속도 v(t)가 v(t) = -4t³+12t²이다. 시각 t=k에서 점 P의 가속도가 12일 때, 시각 t=3k에서 t=4k까지 점 P가 움직인 거리는? (단, k는 상수이다.) [4점]",23,25,27,29,31,4
KSAT_2021_09_고3_미적분,11,"다항함수 f(x)가 모든 실수 x에 대하여 xf(x) = 2x³+ax²+3a+∫(0 to 1) f(t)dt를 만족시킨다. f(1) = ∫(0 to 1) f(t)dt일 때, a+f(3)의 값은? (단, a는 상수이다.) [4점]",5,6,7,8,9,4
KSAT_2021_09_고3_미적분,13,"첫째항이 -45이고 공차가 d인 등차수열 {an}이 다음 조건을 만족시키도록 하는 모든 자연수 d의 값의 합은? [4점]
(가) |am|=|am+3|인 자연수 m이 존재한다.
(나) 모든 자연수 n에 대하여 ∑(k=1 to n) ak > -100이다.",44,48,52,56,60,2
KSAT_2021_09_고3_미적분,15,"수열 {an}은 |a1|≤1이고, 모든 자연수 n에 대하여 an+1={-2an-2 (-1≤an<-1/2), 2an (-1/2≤an≤1/2), -2an+2 (1/2<an≤1)}을 만족시킨다. a5+a6=0이고 ∑(k=1 to 5) ak>0이 되도록 하는 모든 a1의 값의 합은? [4점]",9/2,5,11/2,6,13/2,1
KSAT_2021_09_고3_미적분,25,"매개변수 t로 나타내어진 곡선 x=e^t-4e^(-t), y=t+1에서 t=ln2일 때, dy/dx의 값은? [3점]",1/1,1/2,1/3,1/4,1/5,4
KSAT_2024_11_수능_기하,2,2. 함수 f(x) = x³-8x+7에 대하여 lim f(2+h) - f(2) 의 값은? [2점],1,2,3,4,5,4
KSAT_2024_11_수능_기하,3,"3. 첫째항과 공비가 모두 양수 k인 등비수열 {an}이 a₄/a₂ + a₂/a₁ = 30을 만족시킬 때, k의 값은? [3점]",1,2,3,4,5,5
KSAT_2024_11_수능_기하,4,"4. 함수 f(x) = { 5x+a (x<-2) / x²-a (x≥-2) } 가 실수 전체의 집합에서 연속일 때, 상수 a의 값은? [3점]",6,7,8,9,10,2
KSAT_2024_11_수능_기하,6,"6. cos(π/2 + θ) = -1/5 일 때, sinθ / (1-cos²θ) 의 값은? [3점]",-5,-√5,0,√5,5,3
KSAT_2024_11_수능_기하,7,"7. 다항함수 f(x)가 모든 실수 x에 대하여 ∫₀ˣf(t)dt = 3x²+2x를 만족시킬 때, f(1)의 값은? [3점]",7,9,11,13,15,1
KSAT_2024_11_수능_기하,8,"8. 두 실수 a = 2log(1/√10) + log₂20, b = log₂2에 대하여 a×b의 값은? [3점]",1,2,3,4,5,1
KSAT_2024_11_수능_기하,9,"9. 함수 f(x) = 3x²-16x-20에 대하여 ∫₋₂⁰f(x)dx = ∫₋₂ªf(x)dx 일 때, 양수 a의 값은? [4점]",16,14,12,10,8,1
KSAT_2024_11_수능_기하,10,"10. 닫힌구간 [0,2π]에서 정의된 함수 f(x) = acosbx+3이 x=π/7에서 최댓값 13을 갖도록 하는 두 자연수 a, b의 순서쌍 (a, b)에 대하여 a+b의 최솟값은? [4점]",12,14,16,18,20,3
KSAT_2024_11_수능_기하,11,11. 시각 t=0일 때 출발하여 수직선 위를 움직이는 점 P의 시각 t(t≥0)에서의 위치 x가 x=t³- (3/2)t²-6t 이다. 출발한 후 점 P의 운동 방향이 바뀌는 시각에서의 점 P의 가속도는? [4점],6,9,12,15,18,2
KSAT_2024_11_수능_기하,12,"12. a₁=2인 수열 {an}과 b₁=2인 등차수열 {bn}이 모든 자연수 n에 대하여 ∑ᵏₙ₌₁ (ak / (bk+1)) = (1/2)n²을 만족시킬 때, ∑⁵ₖ₌₁ak의 값은? [4점]",120,125,130,135,140,1
KSAT_2024_11_수능_기하,13,"[MultiModal] 13. 최고차항의 계수가 1인 삼차함수 f(x)가 f(1) = f(2) = 0, f'(0) = -7을 만족시킨다. 원점 O와 점 P(3, f(3))에 대하여 선분 OP가 곡선 y=f(x)와 만나는 점 중 P가 아닌 점을 Q라 하자. 곡선 y=f(x)와 y축 및 선분 OQ로 둘러싸인 부분의 넓이를 A, 곡선 y=f(x)와 선분 PQ로 둘러싸인 부분의 넓이를 B라 할 때, B-A의 값은? [4점]",37/4,39/4,41/4,43/4,45/4,5
KSAT_2024_11_수능_기하,15,15. 상수 a(a ≠ 3√5)와 최고차항의 계수가 음수인 이차함수 f(x)에 대하여 함수 g(x) = { x³+ax²+15x+7 (x≤0) / f(x) (x > 0) } 이 다음 조건을 만족시킨다. (가) 함수 g(x)는 실수 전체의 집합에서 미분가능하다. (나) x에 대한 방정식 g'(x)×g'(x-4)=0의 서로 다른 실근의 개수는 4이다. g(-2)+g(2)의 값은? [4점],30,32,34,36,38,2
KSAT_2024_11_수능_기하,23,"5지선다형
23. 두 벡터 a = (k, 3), b = (1, 2)에 대하여 a + 3b = (6,9)일 때, k의 값은? [2점]",1,2,3,4,5,3
KSAT_2024_11_수능_기하,24,"24. 꼭짓점의 좌표가 (1,0)이고, 준선이 x=-1인 포물선이 점 (3, a)를 지날 때, 양수 a의 값은? [3점]",1,2,3,4,5,4
KSAT_2024_11_수능_기하,25,"25. 좌표공간의 두 점 A(a, b, 6), B(-4, -2, c)에 대하여 선분 AB를 3:2로 내분하는 점이 x축 위에 있고, 선분 AB를 3:2로 외분하는 점이 xy평면 위에 있을 때, a+b+c의 값은? [3점]",11,12,13,14,15,3
KSAT_2024_11_수능_기하,26,"26. 자연수 n(n≥ 2)에 대하여 직선 x=1/n이 두 타원 C₁: x²/2+y²=1, C₂: 2x²+y²/2=1과 만나는 제1사분면 위의 점을 각각 P, Q라 하자. 타원 C₁ 위의 점 P에서의 접선의 x절편을 α, 타원 C₂ 위의 점 Q에서의 접선의 x절편을 β라 할 때, 6 <α-β <15가 되도록 하는 모든 n의 개수는? [3점]",7,9,11,13,15,1
KSAT_2025_05_고3_확률과 통계,2,함수 f(x)=x²-2x+5에 대하여 lim(h→0) (f(1+h)-f(1))/h의 값은?,1,2,3,4,5,2
KSAT_2025_05_고3_확률과 통계,3,"첫째항과 공비가 모두 양수 k인 등비수열 {a_n}이 a₂(k²+1)=3a₄를 만족시킬 때, a₃의 값은?",√2/3,2√3/9,√2/4,√3/3,√3/2,3
KSAT_2025_05_고3_확률과 통계,6,"3π/2 < θ < 2π인 θ에 대하여 sinθ+tanθ+cosθ=3일 때, sinθ-tanθ의 값은?",-4√2/3,-2√2/3,0,2√2/3,4√2/3,2
KSAT_2025_05_고3_확률과 통계,7,"다항함수 f(x)가 f'(x)=x²-kx+k-1, f(0)=2를 만족시킨다. 함수 f(x)가 극값을 갖지 않을 때, f(3)의 값은? (단, k는 상수이다.)",2,5,8,11,14,5
KSAT_2025_05_고3_확률과 통계,9,"다항함수 f(x)가 모든 실수 x에 대하여 xf(x)=ax²+2x-3+∫(from 2 to x) f'(t)dt를 만족시킬 때, ∫(from 0 to 2) f(x)dx의 값은? (단, a는 상수이다.)",3,6,9,12,15,1
KSAT_2025_05_고3_확률과 통계,10,"모든 항이 자연수이고 공차가 같은 두 등차수열 {a_n}, {b_n}이 모든 자연수 n에 대하여 Σ(from k=1 to n) 1/(a_k b_k) = n/(8n+4)을 만족시킬 때, Σ(from k=1 to 5) (a_k+b_k)의 값은?",100,110,120,130,140,3
KSAT_2025_05_고3_확률과 통계,11,"수직선 위를 움직이는 점 P의 시각 t(t≥0)에서의 위치 x가 x=kt³-6t²+t이다. 양수 k에 대하여 시각 t=k에서 점 P의 속도가 1일 때, 시각 t=2k에서 점 P의 가속도는?",36,48,60,72,84,1
KSAT_2025_05_고3_확률과 통계,13,"[MultiModal] 최고차항의 계수가 1인 이차함수 f(x)에 대하여 곡선 y = f(x)와 직선 y=x-3이 x좌표가 양수인 두 점 A, B에서 만난다. 직선 y=x-3과 y축이 만나는 점을 C라 하자. 곡선 y = f(x)와 y축 및 선분 AC로 둘러싸인 부분의 넓이를 S₁, 곡선 y = f(x)와 선분 AB로 둘러싸인 부분의 넓이를 S₂라 하자. 곡선 y = f(x)와 선분 AB로 둘러싸인 부분의 넓이를 직선 x=3이 이등분하고, S₂-2S₁ = 6일 때, f(-1)의 값은? (단, 점 A의 x좌표는 3보다 작고, 점 B의 x좌표는 3보다 크다.)",15/2,8,17/2,9,19/2,5
KSAT_2025_05_고3_확률과 통계,15,"최고차항의 계수가 1이고 lim(x→0) f(x)/x =1인 사차함수 f(x)와 실수 전체의 집합에서 연속인 함수 g(x)가 모든 실수 x에 대하여 {g(x)-x}{g(x)-f(x)}=0을 만족시킨다. 함수 g(x)가 다음 조건을 만족시킬 때, 모든 g(-2)/g(3)의 값의 합은?
(가) lim(x→2) (g(x)-g(2))/(x-2) 의 값은 존재하지 않는다.
(나) x ≥ a인 모든 실수 x에 대하여 g(-x)=-g(x)를 만족시키는 실수 a의 최솟값은 4이다.",-41/3,-13,37/3,-35/3,-11,4
KSAT_2025_05_고3_확률과 통계,23,"두 사건 A, B는 서로 배반사건이고 P(A)=1/4, P(B)=1/8 일 때, P(A∪B)의 값은?",1/4,7/24,1/3,3/8,5/12,4
KSAT_2025_05_고3_확률과 통계,25,"세 주사위 A, B, C를 동시에 던져서 나오는 눈의 수를 각각 a, b, c라 할 때, a×b×c의 값이 3의 배수일 확률은?",17/27,2/3,19/27,20/27,67/9,3
KSAT_2025_05_고3_확률과 통계,26,"흰 공 5개와 검은 공 10개를 네 주머니 A, B, C, D에 다음 규칙에 따라 남김없이 나누어 넣는 경우의 수는? (단, 같은 색 공끼리는 서로 구별하지 않고, 검은 공을 넣지 않는 주머니가 있을 수 있다.)
(가) 각 주머니에 흰 공을 1개 이상씩 넣는다.
(나) 세 주머니 A, B, C에 넣는 흰 공의 개수의 합은 주머니 D에 넣는 검은 공의 개수와 같다.",120,135,150,165,180,1
KSAT_2025_05_고3_확률과 통계,27,"숫자 1, 2, 3, 4가 하나씩 적혀 있는 카드가 각각 5장씩 있다. 이 20장의 카드 중에서 5장을 택해 왼쪽에서 오른쪽으로 일렬로 나열할 때, 다음 조건을 만족시키는 경우의 수는? (단, 같은 숫자가 적힌 카드끼리는 서로 구별하지 않는다.)
(가) 나열한 5장의 카드에 적힌 수의 곱은 96이다.
(나) 오른쪽 끝에 놓인 카드에 적힌 수는 짝수이다.",48,50,52,54,56,3
KSAT_2025_05_고3_확률과 통계,28,"집합 X= {1, 2, 3, 4, 5, 6}에 대하여 다음 조건을 만족시키는 함수 f: X→X의 개수는?
(가) 2f(1)+2f(2)+f(6)=f(3)+16
(나) f(3)≤ f(4)≤ f(5)≤ f(6)",288,300,312,324,336,4
KSAT_2021_10_고3_기하,4,"공차가 d인 등차수열 {an}의 첫째항부터 제n항까지의 합이 n²-5n일 때, a₁+d의 값은? [3점]",-4,-2,0,2,4,2
KSAT_2021_10_고3_기하,6,"곡선 y=6ˣ 위에 두 점 A(a, 6⁻ᵃ), B(a+1, 6⁻(ᵃ⁺¹))에 대하여 선분 AB는 한 변의 길이가 1인 정사각형의 대각선이다. 6⁻ᵃ의 값은? [3점]",6/5,7/5,8/5,9/5,2,1
KSAT_2021_10_고3_기하,7,"두 함수 f(x)=|x-3|, g(x)=2x+a에 대하여 함수 f(x)g(x)가 실수 전체의 집합에서 미분가능할 때, 상수 a의 값은? [3점]",2,4,6,8,10,3
KSAT_2021_10_고3_기하,9,"수열 {an}이 모든 자연수 n에 대하여 an+an+1=2n을 만족시킬 때, a₁+a₂₂의 값은? [4점]",18,19,20,21,22,5
KSAT_2021_10_고3_기하,10,"최고차항의 계수가 1인 이차함수 f(x)와 3보다 작은 실수 a에 대하여 함수 g(x)=|(x-a)f(x)|가 x=3에서만 미분가능하지 않다. 함수 g(x)의 극댓값이 32일 때, f(4)의 값은? [4점]",7,9,11,13,15,1
KSAT_2021_10_고3_기하,11,"닫힌구간 [0,2π]에서 정의된 함수 f(x)는
sin x (0 ≤ x ≤ π/6)
2sin(k/6-x) - sin(k/6) (π/6 < x ≤ 2π)
이다. 곡선 y=f(x)와 직선 y=sin(k/6)의 교점의 개수를 an이라 할 때, a₁+a₂+a₃+a₄+a₅의 값은? [4점]",6,7,8,9,10,4
KSAT_2021_10_고3_기하,15,"최고차항의 계수가 4이고 f(0)=f'(0)=0을 만족시키는 삼차함수 f(x)에 대하여 함수 g(x)를
∫₀ˣ f(t)dt+5 (x<c)
g(x) = {∫₀ˣ f(t)dt - 13/3 (x≥c)
라 하자. 함수 g(x)가 실수 전체의 집합에서 연속이 되도록 하는 실수 c의 개수가 1일 때, g(1)의 최댓값은? [4점]",2,8/3,10/3,4,14/3,5
KSAT_2021_10_고3_기하,23,"두 벡터 a=(m-2, 3)과 b=(2m+1, 9)가 서로 평행할 때, 실수 m의 값은? [2점]",3,5,7,9,11,3
KSAT_2021_10_고3_기하,24,"좌표공간의 두 점 A(-1, 1, -2), B(2, 4, 1)에 대하여 선분 AB가 xy평면과 만나는 점을 P라 할 때, 선분 AP의 길이는? [3점]",2√3,√13,√14,√15,4,1
KSAT_2021_10_고3_기하,25,"양수 a에 대하여 기울기가 1/2인 직선이 타원 x²/36+y²/16=1과 포물선 y²=ax에 동시에 접할 때, 포물선 y²=ax의 초점의 x좌표는? [3점]",1/2,3/2,3,7/2,4,2
KSAT_2021_10_고3_기하,27,"좌표공간에 OA=7인 점 A가 있다. 점 A를 중심으로 하고 반지름의 길이가 8인 구 S와 xy평면이 만나서 생기는 원의 넓이가 25π이다. 구 S와 x축이 만나는 두 점을 각각 B, C라 할 때, 선분 BC의 길이는? (단, O는 원점이다.) [3점]",2√46,8√3,10√2,4√13,6√6,5
KSAT_2021_10_고3_기하,28,"삼각형 ABC와 삼각형 ABC의 내부의 점 P가 다음 조건을 만족시킨다.
(가) PA∙PC=0, |PA|/|PC|=3
(나) PB∙PC = -1/2|PB||PC| = -2|PC|²
직선 AP와 선분 BC의 교점을 D라 할 때, AD=kPD 이다. 실수 k의 값은? [4점]",11/2,6,13/2,7,15/2,1
KSAT_2021_07_고3_기하,5,부등식 5^(2x-7) ≤ (1/5)^(x-2)을 만족시키는 자연수 x의 개수는? [3점],1,2,3,4,5,3
KSAT_2021_07_고3_기하,7,"수열 {a_n}은 a_1 = 10이고, 모든 자연수 n에 대하여 a_(n+1) = {5 - 10/a_n (a_n이 정수인 경우), -2a_n+3 (a_n이 정수가 아닌 경우) 를 만족시킨다. a_9+a_12의 값은? [3점]",5,6,7,8,9,4
KSAT_2021_07_고3_기하,8,"첫째항이 a(a > 0) 이고, 공비가 r인 등비수열 {a_n}의 첫째항부터 제n항까지의 합을 S_n이라 하자. 2a = S_2+S_3, r^2 =64a^2일 때, a_5의 값은? [3점]",2,4,6,8,10,2
KSAT_2021_07_고3_기하,9,"2 이상의 두 자연수 a, n에 대하여 (√a)^n의 값이 자연수가 되도록 하는 n의 최댓값을 f(a)라 하자. f(4)+f(27)의 값은? [4점]",13,14,15,16,17,3
KSAT_2021_07_고3_기하,10,"0 ≤ x < 2π일 때, 방정식 3cos^2x+5sinx-1=0의 모든 해의 합은? [4점]",π,3/2π,2π,5/2π,3π,5
KSAT_2021_07_고3_기하,12,"다항함수 f(x)는 lim_{x→1} (f(x))/(x^2-3x-5) = 2를 만족시키고, 함수 g(x)는 g(x) = {1/(x-3) (x≠3), 1 (x = 3) 이다. 두 함수 f(x), g(x)에 대하여 함수 f(x)g(x)가 실수 전체의 집합에서 연속일 때, f(1)의 값은? [4점]",8,9,10,11,12,1
KSAT_2021_07_고3_기하,13,"첫째항이 1인 수열 {a_n}의 첫째항부터 제n항까지의 합을 S_n이라 하자. 다음은 모든 자연수 n에 대하여 (n+1)S_(n+1) = log_2(n+2)+Σ_{k=1}^n S_k (*) 가 성립할 때, Σ_{k=1}^n k a_k를 구하는 과정이다.
주어진 식(*)에 의하여 nS_n = log_2(n+1)+Σ_{k=1}^n S_k (n ≥ 2) ... ㉠ 이다. (*)에서 ㉠을 빼서 정리하면 (n+1)S_(n+1)-nS_n = log_2(n+2)-log_2(n+1)+Σ_{k=1}^n S_k - Σ_{k=1}^{n-1} S_k (n ≥ 2) 이므로 (가) × a_(n+1) = log_2((n+2)/(n+1)) (n ≥ 2) 이다. a_1=1=log_2 2 이고, 2S_2=log_2 3+S_1 = log_2 3+a_1 이므로 모든 자연수 n에 대하여 n a_n = (나) 이다. 따라서 Σ_{k=1}^n k a_k = (다) 이다.
위의 (가), (나), (다)에 알맞은 식을 각각 f(n), g(n), h(n)이라 할 때, f(8)-g(8)+h(8)의 값은? [4점]",12,13,14,15,16,1
KSAT_2021_07_고3_기하,15,"최고차항의 계수가 1인 사차함수 f(x)의 도함수 f'(x)에 대하여 방정식 f'(x)=0의 서로 다른 세 실근 α, 0, β (α <0<β)가 이 순서대로 등차수열을 이룰 때, 함수 f(x)는 다음 조건을 만족시킨다.
(가) 방정식 f(x)=9는 서로 다른 세 실근을 가진다.
(나) f(x)=-16
함수 g(x)=|f'(x)|-f'(x)에 대하여 ∫_0^10 g(x)dx의 값은? [4점]",48,50,52,54,56,2
KSAT_2021_07_고3_기하,23,"두 벡터 a= (2, 4), b=(-1, k)에 대하여 두 벡터 a와 b가 서로 평행하도록 하는 실수 k의 값은? [2점]",-5,-4,-3,-2,-1,4
